body_type,daysonmarket,fuel_type,has_accidents,highway_fuel_economy,horsepower,is_new,make_name,mileage,price,seller_rating,year
SUV / Crossover,44,Gasoline,,26.0,518.0,True,Land Rover,8.0,119590.0,3.0,2020
SUV / Crossover,505,Gasoline,,26.0,295.0,True,Dodge,12.0,38935.0,2.8,2019
SUV / Crossover,187,Gasoline,,26.0,340.0,True,Land Rover,15.0,66005.0,3.0,2020
Sedan,76,Gasoline,False,30.0,292.0,False,Dodge,45550.0,22300.0,2.8,2018
SUV / Crossover,17,Flex Fuel Vehicle,True,22.0,355.0,False,Chevrolet,45966.0,39439.0,3.4477611940298507,2016
SUV / Crossover,228,Gasoline,,26.0,250.0,True,Mazda,10.0,39695.0,2.8,2020
SUV / Crossover,133,Gasoline,False,26.0,305.0,False,Chevrolet,7076.0,26921.0,3.4477611940298507,2019
SUV / Crossover,83,Gasoline,False,27.0,310.0,False,Chevrolet,29557.0,26519.0,3.4477611940298507,2018
SUV / Crossover,14,Gasoline,False,24.0,241.0,False,Jeep,61161.0,17300.0,2.8,2014
SUV / Crossover,10,Gasoline,False,28.0,185.0,False,Kia,11598.0,16969.0,3.4477611940298507,2017
SUV / Crossover,20,Gasoline,,26.0,575.0,True,Land Rover,20.0,135465.0,3.0,2020
SUV / Crossover,14,Gasoline,False,25.0,241.0,False,Jeep,24274.0,29800.0,2.8,2017
SUV / Crossover,417,Gasoline,,26.0,250.0,True,Mazda,10.0,53095.0,2.8,2019
SUV / Crossover,197,Gasoline,,26.0,250.0,True,Mazda,10.0,39695.0,2.8,2020
SUV / Crossover,41,Gasoline,False,22.0,281.0,False,Chevrolet,19656.0,24439.0,3.4477611940298507,2017
SUV / Crossover,7,Gasoline,True,20.0,285.0,False,Jeep,43240.0,36000.0,2.8,2015
SUV / Crossover,99,Flex Fuel Vehicle,False,24.0,308.0,False,Cadillac,63723.0,13000.0,2.8,2013
SUV / Crossover,26,Gasoline,False,22.0,281.0,False,Chevrolet,20695.0,23759.0,3.4477611940298507,2017
SUV / Crossover,43,Gasoline,False,22.0,281.0,False,Chevrolet,38534.0,21659.0,3.4477611940298507,2017
SUV / Crossover,52,Flex Fuel Vehicle,False,26.0,355.0,False,Chevrolet,50522.0,36519.0,3.4477611940298507,2017
Pickup Truck,21,Gasoline,False,22.0,395.0,False,RAM,38602.0,48700.0,2.8,2019
Coupe,19,Gasoline,False,25.0,435.0,False,Ford,46955.0,25000.0,2.8,2016
Pickup Truck,27,Gasoline,False,22.0,355.0,False,Chevrolet,16894.0,39439.0,3.4477611940298507,2019
SUV / Crossover,18,Gasoline,False,27.0,300.0,False,BMW,81916.0,20999.0,2.963636363636364,2015
SUV / Crossover,60,Gasoline,False,27.0,300.0,False,BMW,87440.0,17995.0,2.963636363636364,2015
Coupe,529,Gasoline,,27.0,797.0,True,Dodge,10.0,94575.0,2.8,2019
SUV / Crossover,25,Gasoline,False,23.0,340.0,False,Land Rover,66623.0,31995.0,2.963636363636364,2014
Sedan,27,Flex Fuel Vehicle,False,28.0,305.0,False,Chevrolet,35959.0,16421.0,3.4477611940298507,2018
SUV / Crossover,45,Gasoline,True,23.0,300.0,False,Porsche,83249.0,16495.0,2.963636363636364,2014
SUV / Crossover,36,Gasoline,False,27.0,296.0,False,Jaguar,37300.0,30388.0,2.8,2018
Pickup Truck,28,Gasoline,False,22.0,355.0,False,Chevrolet,39526.0,31422.0,3.4477611940298507,2019
SUV / Crossover,14,Gasoline,False,21.0,268.0,False,Mercedes-Benz,85992.0,10395.0,2.963636363636364,2012
SUV / Crossover,35,Gasoline,False,25.0,295.0,False,Jeep,26144.0,27500.0,2.8,2017
SUV / Crossover,18,Gasoline,False,27.0,300.0,False,BMW,62256.0,21495.0,2.963636363636364,2014
SUV / Crossover,225,Gasoline,False,23.0,340.0,False,Land Rover,77002.0,22999.0,2.963636363636364,2014
Sedan,27,Flex Fuel Vehicle,False,28.0,305.0,False,Chevrolet,7002.0,21723.0,3.4477611940298507,2019
Pickup Truck,20,Gasoline,False,22.0,395.0,False,RAM,39958.0,27500.0,2.8,2017
Pickup Truck,0,Gasoline,False,22.0,355.0,False,Chevrolet,29881.0,35500.0,2.8,2018
Sedan,24,Gasoline,False,29.0,295.0,False,Chrysler,54551.0,13500.0,2.8,2016
Sedan,28,Gasoline,False,33.0,240.0,False,BMW,80723.0,12495.0,2.963636363636364,2013
Pickup Truck,77,Biodiesel,False,22.0,445.0,False,Chevrolet,42302.0,48949.0,3.4477611940298507,2019
SUV / Crossover,44,Gasoline,True,26.0,182.0,False,Chevrolet,108538.0,11439.0,3.4477611940298507,2017
SUV / Crossover,589,Gasoline,True,19.0,205.0,False,Jeep,101813.0,12499.0,4.666666666666667,2009
Sedan,20,Gasoline,False,33.0,185.0,False,Kia,21549.0,16500.0,2.8,2019
SUV / Crossover,19,Gasoline,False,27.0,247.0,False,Jaguar,22691.0,31300.0,2.8,2019
Pickup Truck,12,Gasoline,False,22.0,355.0,False,Chevrolet,35734.0,32479.0,3.4477611940298507,2017
Pickup Truck,26,Gasoline,True,22.0,355.0,False,Chevrolet,77055.0,30924.0,3.4477611940298507,2017
SUV / Crossover,388,Gasoline,False,22.0,250.0,False,Honda,125795.0,12499.0,4.666666666666667,2010
Van,24,Gasoline,False,27.0,255.0,False,Ford,135317.0,4999.0,4.666666666666667,2007
